Disease Name,Short Description,General Precautions,Recommended Doctor / Specialist
panic disorder,"panic disorder — a mental health condition that affects mood, thoughts, or behavior; often treated with therapy and/or medication.",Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Psychiatrist / Psychologist
vocal cord polyp,vocal cord polyp — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
turner syndrome,turner syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
cryptorchidism,cryptorchidism — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
poisoning due to ethylene glycol,poisoning due to ethylene glycol — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Primary care physician (General practitioner / Family physician)
atrophic vaginitis,atrophic vaginitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
fracture of the hand,"fracture of the hand — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
cellulitis or abscess of mouth,cellulitis or abscess of mouth — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
eye alignment disorder,eye alignment disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
headache after lumbar puncture,headache after lumbar puncture — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pyloric stenosis,pyloric stenosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
salivary gland disorder,salivary gland disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
osteochondrosis,osteochondrosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
injury to the knee,"injury to the knee — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
metabolic disorder,metabolic disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
vaginitis,vaginitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
sick sinus syndrome,sick sinus syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
tinnitus of unknown cause,tinnitus of unknown cause — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
glaucoma,glaucoma — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
eating disorder,eating disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
